fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"177",SUBPREFEITURA SÉ/ZEIS 3,"177",SIM,NOTIFICADO,"0050660061",NAO UTILIZADO,"0050660061",NÃO UTILIZADO,R GLICERIO,"580",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"279","826",2015/07/28,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/07/28,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"178",SUBPREFEITURA SÉ/ZEIS 3,"178",SIM,NOTIFICADO,"0050660062",NAO UTILIZADO,"0050660062",NÃO UTILIZADO,R GLICERIO,"574",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"277","111",2015/07/28,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/07/28,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"179",OU CENTRO,"179",NÃO,NOTIFICADO,"0050660093",SUBUTILIZADO,"0050660093",SUBUTILIZADO,R GLICERIO,"610",NÃO,SPSE,OU CENTRO,"940","500",2015/11/10,PEUC,NOTIFICADO,AVERBADO,2015/11/10,2018/08/10,"-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"180",OU CENTRO,"180",NÃO,NOTIFICADO,"0050660485",NAO UTILIZADO,"0050660485",NÃO UTILIZADO,R GLICERIO,"642",NÃO,SPSE,OU CENTRO,"272","350",2015/12/10,PEUC,NOTIFICADO,"-",2015/12/10,"-","-",,"-","-","-","-","-","-","-","-","-"
"181",SUBPREFEITURA SÉ,"181",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0050690090",NAO EDIFICADO,"0050690090",NÃO EDIFICADO,R Barão de Iguape,"220",,SPSE,SUBPREFEITURA SÉ,"182","0",2016/10/11,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/10/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"182",SUBPREFEITURA SÉ,"182",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0050690091",NAO EDIFICADO,"0050690091",NÃO EDIFICADO,R BARAO DE IGUAPE,"9999",NÃO,SPSE,SUBPREFEITURA SÉ,"158","0",2016/10/11,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/10/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"183",SUBPREFEITURA SÉ,"183",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0050690092",NAO EDIFICADO,"0050690092",NÃO EDIFICADO,R BARAO DE IGUAPE,"9999",NÃO,SPSE,SUBPREFEITURA SÉ,"165","0",2016/10/11,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/10/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"184",SUBPREFEITURA SÉ,"184",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0050690093",NAO EDIFICADO,"0050690093",NÃO EDIFICADO,R BARAO DE IGUAPE,"9999",NÃO,SPSE,SUBPREFEITURA SÉ,"391","0",2016/10/11,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/10/11,"-","-",,"-","-","-","-","-","-","-","-","-"
"185",SUBPREFEITURA SÉ/ZEIS 5,"185",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0050700057",NAO UTILIZADO,"0050700057",NÃO UTILIZADO,R BR DE IGUAPE,"360","-",SPSE,SUBPREFEITURA SÉ / ZEIS 5,"948","4508",2015/06/01,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/01,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"186",SUBPREFEITURA SÉ/ZEIS 5,"186",SIM,NOTIFICADO,"0050730038",NAO UTILIZADO,"0050730038",NÃO UTILIZADO,R  GLICERIO,"762",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"161","56",2016/01/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/12,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"187",SUBPREFEITURA SÉ/ZEIS 5,"187",SIM,NOTIFICADO,"0050730084",SUBUTILIZADO,"0050730084",SUBUTILIZADO,R GLICERIO,"732",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"510","150",2015/12/24,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/12/24,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"188",OU CENTRO,"188",NÃO,NOTIFICADO,"0050750010",SUBUTILIZADO,"0050750010",SUBUTILIZADO,AV BRIG LUIS ANTONIO,"00194",NÃO,SPSE,OU CENTRO,"568","91",2016/03/28,PEUC,NOTIFICADO,AVERBADO,2016/03/28,2017/11/23,"-",,"-","-","-","-","-","-","-","-","-"
"189",SUBPREFEITURA SÉ/ZEIS 3,"189",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0050762811",SUBUTILIZADO,"0050762811",SUBUTILIZADO,CD SARZEDAS,"191",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"580","285",2015/11/10,PEUC,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2015/11/10,2016/05/24,"-",,"2017","-",ENVIADO,"-","-","-","-","-","-"
"190",SUBPREFEITURA SÉ/ZEIS 3,"190",SIM,RECURSO INDEFERIDO / MONITORAMENTO,"0050762824",SUBUTILIZADO,"0050762824",SUBUTILIZADO,CD SARZEDAS,135-143,NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"1250","322",2016/02/02,IPTU PROGRESSIVO,RECURSO INDEFERIDO / MONITORAMENTO,AVERBADO,2016/02/02,2019/04/01,"-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"191",OU CENTRO,"191",SIM,NOTIFICADO,"0050820042",NAO EDIFICADO,"0050820042",NÃO EDIFICADO,AV DA LIBERDADE,"00338",NÃO,SPSE,OU CENTRO,"1630","0",2016/08/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/08/12,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"192",OU CENTRO,"192",SIM,NOTIFICADO,"0050820043",NAO EDIFICADO,"0050820043",NÃO EDIFICADO,AV DA LIBERDADE,"340",NÃO,SPSE,OU CENTRO,"500","0",2015/11/17,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/11/17,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"193",OU CENTRO,"193",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0050840008",NAO UTILIZADO,"0050840008",NÃO UTILIZADO,R SÃO PAULO,"47","-",SPSE,OU CENTRO,"312","747",2015/07/08,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/07/08,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"194",SUBPREFEITURA SÉ,"194",NÃO,NOTIFICADO,"0050870008",SUBUTILIZADO,"0050870008",SUBUTILIZADO,AV DA LIBERDADE,"00574",NA,SPSE,SUBPREFEITURA SÉ,"1475","60",2016/05/09,PEUC,NOTIFICADO,AVERBADO,2016/05/09,2017/05/09,"-",,"2018","-","-",ENVIADO,"-","-","-","-","-"
"195",SUBPREFEITURA SÉ/ZEIS 5,"195",SIM,NOTIFICADO,"0050910001",NAO EDIFICADO,"0050910001",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"70",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"196",SUBPREFEITURA SÉ/ZEIS 5,"196",SIM,NOTIFICADO,"0050910002",NAO EDIFICADO,"0050910002",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"60",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"197",SUBPREFEITURA SÉ/ZEIS 5,"197",SIM,NOTIFICADO,"0050910003",NAO EDIFICADO,"0050910003",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"58",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"198",SUBPREFEITURA SÉ/ZEIS 5,"198",SIM,NOTIFICADO,"0050910004",NAO EDIFICADO,"0050910004",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"48",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"199",SUBPREFEITURA SÉ/ZEIS 5,"199",SIM,NOTIFICADO,"0050910005",NAO EDIFICADO,"0050910005",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"46",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"200",SUBPREFEITURA SÉ/ZEIS 5,"200",SIM,NOTIFICADO,"0050910006",NAO EDIFICADO,"0050910006",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"34",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"201",SUBPREFEITURA SÉ/ZEIS 5,"201",SIM,NOTIFICADO,"0050910007",NAO EDIFICADO,"0050910007",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"32",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"202",SUBPREFEITURA SÉ/ZEIS 5,"202",SIM,NOTIFICADO,"0050910008",NAO EDIFICADO,"0050910008",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"22",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"203",SUBPREFEITURA SÉ/ZEIS 5,"203",SIM,NOTIFICADO,"0050910009",NAO EDIFICADO,"0050910009",NÃO EDIFICADO,R EGAS MONIZ DE ARAGÃO,"20",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 5,"70","50",2015/10/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/10/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"204",OU CENTRO,"204",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060010329",SUBUTILIZADO,"0060010329",SUBUTILIZADO,R CAIO PRADO,"00103",NÃO,SPSE,OU CENTRO,"1629","102",2015/11/06,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/11/06,2016/10/25,2018/05/09,,"2017","-",ENVIADO,"-","-","-","-","-","-"
"205",OU CENTRO,"205",SIM,NOTIFICADO,"0060090003",NAO UTILIZADO,"0060090003",NÃO UTILIZADO,R VINTE E QUATRO DE MAIO,"207",NÃO,SPSE,OU CENTRO,"276","3190",2015/09/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/12,"-","-",,"2017","-",ENVIADO,"-",ENVIADO,"-","-","-","-"
"206",OU CENTRO,"206",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060100049",NAO UTILIZADO,"0060100049",NÃO UTILIZADO,AV SÃO JOÃO,"587","-",SPSE,OU CENTRO,"1475","1264",2015/02/19,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/19,"-","-",,"2017","-",ENVIADO,"-","-","-","-","-","-"
"207",OU CENTRO,"207",NÃO,NOTIFICADO,"0060120028",SUBUTILIZADO,"0060120028",SUBUTILIZADO,R NESTOR PESTANA,"94",NÃO,SPSE,OU CENTRO,"525","180",2016/04/16,PEUC,NOTIFICADO,"-",2016/04/16,2017/02/24,"-",,"-","-","-","-","-","-","-","-","-"
"208",OU CENTRO,"208",NÃO,NOTIFICADO,"0060200541",SUBUTILIZADO,"0060200541",SUBUTILIZADO,AV NOVE DE JULHO,"00544",NÃO,SPSE,OU CENTRO,"983","400",2015/08/25,PEUC,NOTIFICADO,AVERBADO,2015/08/25,2016/12/19,"-",,"-","-","-","-","-","-","-","-","-"
"209",OU CENTRO,"209",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060310002",SUBUTILIZADO,"0060310002",SUBUTILIZADO,R ALVARO DE CARVALHO,"00281",NÃO,SPSE,OU CENTRO,"953","254",2015/11/17,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/11/17,2017/04/24,2017/12/20,,"2017","-",ENVIADO,"-","-","-","-","-","-"
"210",OU CENTRO,"210",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060320555",SUBUTILIZADO,"0060320555",SUBUTILIZADO,R ALVARO DE CARVALHO,"163",NÃO,SPSE,OU CENTRO,"656","180",2015/08/21,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/08/21,2017/05/11,2017/06/06,,"2017","-",ENVIADO,"-","-","-","-","-","-"
"211",OU CENTRO,"211",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060360007",NAO UTILIZADO,"0060360007",NÃO UTILIZADO,R CEL XAVIER DE TOLEDO,"00083",NÃO,SPSE,OU CENTRO,"400","3795",2017/03/16,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2017/03/16,"-","-",,"-","-","-","-","-","-","-","-","-"
"212",OU CENTRO,"212",NÃO,NOTIFICADO,"0060380140",SUBUTILIZADO,"0060380140",SUBUTILIZADO,R MAJ DIOGO,"00040",NÃO,SPSE,OU CENTRO,"1192","38",2015/11/03,PEUC,NOTIFICADO,AVERBADO,2015/11/03,2016/10/27,"-",,"-","-","-","-","-","-","-","-","-"
"213",OU CENTRO,"213",SIM,NOTIFICADO,"0060470135",NAO UTILIZADO,"0060470135",NÃO UTILIZADO,R MAJOR DIOGO,"0272",NÃO,SPSE,OU CENTRO,"3150","3353",2014/12/16,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/16,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"214",OU CENTRO,"214",SIM,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0060480098",SUBUTILIZADO,"0060480098",SUBUTILIZADO,R S DOMINGOS,"55",NÃO,SPSE,OU CENTRO,"1030","130",2015/10/21,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,"-",2015/10/21,2019/09/03,"-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"215",OU CENTRO,"215",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060500055",NAO UTILIZADO,"0060500055",NÃO UTILIZADO,R JAPURA,"152","-",SPSE,OU CENTRO,"136","316",2016/07/14,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2016/07/14,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"216",OU CENTRO,"216",SIM,NOTIFICADO,"0060511133",SUBUTILIZADO,"0060511133",SUBUTILIZADO,R STO AMARO,"00368",NÃO,SPSE,OU CENTRO,"864","140",2016/04/16,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/04/16,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"217",OU CENTRO,"217",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0060600004",NAO EDIFICADO,"0060600004",NÃO EDIFICADO,AV BRIG LUIS ANTONIO,"00738",NÃO,SPSE,OU CENTRO,"275","240",2015/02/09,PEUC,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2015/02/09,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"218",OU CENTRO,"218",NÃO,NOTIFICADO,"0060600706",NAO EDIFICADO,"0060600706",NÃO EDIFICADO,AV BRIG LUIS ANTONIO,"00746",NÃO,SPSE,OU CENTRO,"350","303",2015/02/09,PEUC,NOTIFICADO,AVERBADO,2015/02/09,2019/01/08,2019/04/01,,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"219",OU CENTRO,"219",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0060620064",SUBUTILIZADO,"0060620064",SUBUTILIZADO,R STO ANTONIO,"00416",NÃO,SPSE,OU CENTRO,"636","30",2014/12/12,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2014/12/12,"-","-",,"2017","-",ENVIADO,"-",ENVIADO,"-","-","-","-"
"220",SUBPREFEITURA SÉ,"220",SIM,NOTIFICADO,"0060740081",SUBUTILIZADO,"0060740081",SUBUTILIZADO,R JOAO PASSALAQUA,"00167",NA,SPSE,SUBPREFEITURA SÉ,"919","80",2016/11/30,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/11/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"221",SUBPREFEITURA SÉ,"221",SIM,NOTIFICADO,"0070050018",SUBUTILIZADO,"0070050018",SUBUTILIZADO,R DASPALMEIRAS,"99999",,SPSE,SUBPREFEITURA SÉ,"698","229",2017/01/12,IPTU PROGRESSIVO,NOTIFICADO,"-",2017/01/12,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"222",SUBPREFEITURA SÉ,"222",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070050033",NAO EDIFICADO,"0070050033",NÃO EDIFICADO,R BR DE TATUI,"99999",,SPSE,SUBPREFEITURA SÉ,"280","724",2016/12/05,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/12/05,2016/12/16,"-",,"-","-","-","-","-","-","-","-","-"
"223",SUBPREFEITURA SÉ,"223",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070050034",NAO EDIFICADO,"0070050034",NÃO EDIFICADO,R BR DE TATUI,"99999",,SPSE,SUBPREFEITURA SÉ,"276","340",2016/12/05,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/12/05,2016/12/16,"-",,"-","-","-","-","-","-","-","-","-"
"224",SUBPREFEITURA SÉ,"224",NÃO,NOTIFICADO / ESPECIFICIDADE,"0070050320",SUBUTILIZADO,"0070050320",SUBUTILIZADO,AV ANGELICA,"00391",NA,SPSE,SUBPREFEITURA SÉ,"652","194",2016/09/13,PEUC,NOTIFICADO / ESPECIFICIDADE,"-",2016/09/13,"-","-",,"-","-","-","-","-","-","-","-","-"
"225",SUBPREFEITURA SÉ,"225",NÃO,NOTIFICADO,"0070150340",SUBUTILIZADO,"0070150340",SUBUTILIZADO,R VITORINO CARMILO,"00119",NA,SPSE,SUBPREFEITURA SÉ,"1538","270",2016/12/21,PEUC,NOTIFICADO,"-",2016/12/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"226",SUBPREFEITURA SÉ,"226",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0070250247",SUBUTILIZADO,"0070250247",SUBUTILIZADO,R FORTUNATO,"00188",NA,SPSE,SUBPREFEITURA SÉ,"571","0",2016/12/07,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/12/07,"-","-",,"-","-","-","-","-","-","-","-","-"
"227",SUBPREFEITURA SÉ,"227",SIM,NOTIFICADO,"0070300011",NAO UTILIZADO,"0070300011",NÃO UTILIZADO,R HELVETIA,"793",,SPSE,SUBPREFEITURA SÉ,"276","779",2016/12/21,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/12/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"228",SUBPREFEITURA SÉ,"228",SIM,NOTIFICADO,"0070360053",NAO EDIFICADO,"0070360053",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00153",,SPSE,SUBPREFEITURA SÉ,"210","210",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"229",SUBPREFEITURA SÉ,"229",SIM,NOTIFICADO,"0070360056",NAO EDIFICADO,"0070360056",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"230",SUBPREFEITURA SÉ,"230",SIM,NOTIFICADO,"0070360057",NAO EDIFICADO,"0070360057",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"231",SUBPREFEITURA SÉ,"231",SIM,NOTIFICADO,"0070360058",NAO EDIFICADO,"0070360058",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"232",SUBPREFEITURA SÉ,"232",SIM,NOTIFICADO,"0070360059",NAO EDIFICADO,"0070360059",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"233",SUBPREFEITURA SÉ,"233",SIM,NOTIFICADO,"0070360060",NAO EDIFICADO,"0070360060",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"234",SUBPREFEITURA SÉ,"234",SIM,NOTIFICADO,"0070360061",NAO EDIFICADO,"0070360061",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","40",2016/06/26,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/26,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"235",SUBPREFEITURA SÉ,"235",SIM,NOTIFICADO,"0070360062",NAO EDIFICADO,"0070360062",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"236",SUBPREFEITURA SÉ,"236",SIM,NOTIFICADO,"0070360063",NAO EDIFICADO,"0070360063",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"237",SUBPREFEITURA SÉ,"237",SIM,NOTIFICADO,"0070360064",NAO EDIFICADO,"0070360064",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"238",SUBPREFEITURA SÉ,"238",SIM,NOTIFICADO,"0070360065",NAO EDIFICADO,"0070360065",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","40",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"239",SUBPREFEITURA SÉ,"239",SIM,NOTIFICADO,"0070360066",NAO EDIFICADO,"0070360066",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"240",SUBPREFEITURA SÉ,"240",SIM,NOTIFICADO,"0070360067",NAO EDIFICADO,"0070360067",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"241",SUBPREFEITURA SÉ,"241",SIM,NOTIFICADO,"0070360068",NAO EDIFICADO,"0070360068",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"242",SUBPREFEITURA SÉ,"242",SIM,NOTIFICADO,"0070360069",NAO EDIFICADO,"0070360069",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
